R	U	I	Pe	Eff
0	0.000	0.560	0.0000	0.000
500	0.284	0.558	0.1585	0.742
1000	0.555	0.556	0.3086	1.445
1500	0.831	0.555	0.4612	2.160
2000	1.105	0.553	0.6111	2.861
3000	1.611	0.550	0.8861	4.149
5000	2.740	0.538	1.4741	6.902
8000	3.850	0.473	1.8211	8.527
20000	4.340	0.221	0.9591	4.491
50000	4.450	0.091	0.4050	1.896
