R	U	I	Pe	Eff
0	0.000	1.183	0.0000	0.000
500	0.594	1.167	0.6932	3.246
1000	1.133	1.138	1.2894	6.037
1500	1.608	1.075	1.7286	8.094
2000	1.878	0.941	1.7672	8.275
3000	2.040	0.684	1.3954	6.534
5000	2.140	0.420	0.8988	4.208
8000	2.180	0.268	0.5842	2.736
20000	2.220	0.113	0.2509	1.175
50000	2.240	0.045	0.0995	0.002
